title,artist,isHot,popularity,album_popularity,genres,cluster
Das ist mein Viertel (feat. Capkekz),Eko Fresh,0,8,36,"['cologne hip hop', 'german hip hop', 'turkish hip hop']",2
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,0,80,76,['pop soul'],2
November Has Come,Gorillaz,0,65,84,"['alternative hip hop', 'modern rock', 'rock']",2
Back a Yard,The In Crowd,0,25,35,"['freakbeat', 'lovers rock']",2
South Bound Water,Lonnie Johnson,0,0,5,"['acoustic blues', 'blues', 'country blues', 'jazz blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'traditional blues']",2
Ja Nun Hons Pris,Bryan Ferry,0,6,28,"['glam rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'solo wave', 'sophisti-pop']",2
Things You Do To Me,Martin Sexton,0,8,26,['alternative americana'],2
O For a Thousand Tongues,Glad,0,12,29,['christian a cappella'],2
Tripping Billies,Dave Matthews Band,0,31,52,"['jam band', 'neo mellow', 'pop rock']",2
Run a Mile - Remastered,The Pineapple Thief,0,4,14,"['modern progressive rock', 'progressive metal']",2
我有今日 - 2022 Live,Justin Lo,0,15,30,['cantopop'],2
Washes Over Me - Wamdue09 Remix Extended,Heather Johnson,0,0,0,['soulful house'],2
Jag Vet En Dejlig Rosa,Traditional,0,0,0,"['gregorian chant', 'puirt-a-beul']",2
Hannikaisen baari,Hector,0,21,18,"['classic finnish rock', 'classic iskelma', 'suomi rock']",2
It Could All Get Blown Away,The Jeff Healey Band,0,0,3,"['blues', 'blues rock', 'canadian blues', 'country rock', 'electric blues', 'modern blues']",2
Bob Your Head,Run–D.M.C.,0,7,24,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",2
Make It Up,Anthony Cruz,0,0,1,['salsa'],2
Le Roi A Fait Battre Tambour,Jacques Douai,0,0,0,['vintage chanson'],2
Dope Nose,Weezer,0,44,52,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",2
Never Alone,Walter Hawkins,0,19,32,['gospel'],2
Love Lifted Me,Eddy Raven,0,10,23,['classic country pop'],2
Working on the Highway,Bruce Springsteen,0,45,83,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",2
新不了情,Fiona Sit,0,9,31,['cantopop'],2
The Pig,Showbread,0,6,10,"['christian hardcore', 'christian punk']",2
Anyone Who Had a Heart,Cal Tjader,0,0,0,"['cool jazz', 'jazz vibraphone', 'latin jazz']",2
Nothing Matters Anymore,Showbread,0,4,13,"['christian hardcore', 'christian punk']",2
Fortunate Fool,Jack Johnson,0,33,55,['neo mellow'],2
"Tu Vuo, Fa, L, Americano",Rita Chiarelli,0,2,3,['canadian blues'],2
Stop That Thing,Sleepy John Estes,0,0,3,"['country blues', 'memphis blues', 'traditional blues']",2
Tu Quieres Volver,Gipsy Kings,0,45,68,"['flamenco', 'rumba', 'world']",2
Walking To Jerusalem - Single Version,Tracy Byrd,0,25,34,"['contemporary country', 'country', 'country road']",2
Calm Down Dad,Helen Love,0,0,0,"['welsh indie', 'welsh rock']",2
Dragonfly - Live,Connemara Stone Company,0,0,1,['celtic rock'],2
Intro,DJ Clue,0,9,43,"['dirty south rap', 'east coast hip hop']",2
BigBigKiss,Helen Love,0,7,22,"['welsh indie', 'welsh rock']",2
To Go Home,Daniel Johnston,0,8,15,"['alternative rock', 'anti-folk', 'chamber pop', 'countrygaze', 'lo-fi', 'melancholia', 'noise pop', 'outsider']",2
Duh Duh Da - Joe Smooth's Mix,Lidell Townsell,0,0,0,"['chicago house', 'classic house']",2
Let It All Go,Krayzie Bone,0,8,28,"['dirty south rap', 'gangster rap', 'ohio hip hop']",2
Tabernacle Song,Fake Problems,0,15,26,"['folk punk', 'orgcore']",2
Dig Up Her Bones,Misfits,0,55,53,"['horror punk', 'new jersey hardcore', 'new jersey punk', 'punk']",2
Cien Años,Selena,0,36,44,"['mexican pop', 'tejano']",2
Collides With Beauty,ATB,0,23,48,"['german dance', 'german techno', 'german trance', 'trance']",2
A Little Of You - Remastered Version,Eurythmics,0,23,54,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",2
2 Fists Full Of Nothing,The Bruisers,0,3,21,"['american oi', 'boston punk', 'oi']",2
Ich bleib so wie ich bin (feat. Ado),Eko Fresh,0,5,22,"['cologne hip hop', 'german hip hop', 'turkish hip hop']",2
Shenandoah,The Statler Brothers,0,19,45,"['country', 'country rock']",2
Schauet her,Der Plan,0,0,5,"['dusseldorf electronic', 'neue deutsche welle', 'zolo']",2
Vietnamese Baby,New York Dolls,0,25,50,"['early us punk', 'glam punk', 'glam rock', 'protopunk', 'punk']",2
